Company Name,Ticker
HOE LEONG CORPORATION LTD.,HOE LEONG CORPORATION LTD. (SGX:H20)
HONG LAI HUAT GROUP LIMITED,HONG LAI HUAT GROUP LIMITED (SGX:CTO)
HONG LEONG ASIA LTD.,HONG LEONG ASIA LTD. (SGX:H22)
HOR KEW CORPORATION LIMITED,HOR KEW CORPORATION LIMITED (SGX:BBP)
HOSEN GROUP LTD.,HOSEN GROUP LTD (SGX:5EV)
HOTEL GRAND CENTRAL LIMITED,HOTEL GRAND CENTRAL LTD (SGX:H18)
HOTEL PROPERTIES LIMITED,HOTEL PROPERTIES LTD (SGX:H15)
HOTEL ROYAL LIMITED,HOTEL ROYAL LTD (SGX:H12)
HOTUNG INVESTMENT HLDGS LTD,HOTUNG INVESTMENT HLDGS LTD (SGX:BLS)
HUAN HSIN HOLDINGS LTD,HUAN HSIN HOLDINGS LTD (SGX:H16)
HUATIONG GLOBAL LIMITED,HUATIONG GLOBAL LIMITED (SGX:41B)
HWA HONG CORPORATION LIMITED,HWA HONG CORPORATION LIMITED (SGX:H19)
HYFLUX LTD,HYFLUX LTD (SGX:600)
HYPHENS PHARMA INTERNATIONAL LIMITED,HYPHENS PHARMA INTL LIMITED (SGX:1J5)
IEV HOLDINGS LIMITED,IEV HOLDINGS LIMITED (SGX:5TN)
IMPERIUM CROWN LIMITED,IMPERIUM CROWN LIMITED (SGX:5HT)
INCREDIBLE HOLDINGS LTD.,INCREDIBLE HOLDINGS LTD. (SGX:RDR)
INDOFOOD AGRI RESOURCES LTD.,INDOFOOD AGRI RESOURCES LTD. (SGX:5JS)
INTERRA RESOURCES LIMITED,INTERRA RESOURCES LIMITED (SGX:5GI)
IPC CORPORATION LTD,IPC CORPORATION LIMITED (SGX:AZA)
ISDN HOLDINGS LIMITED,ISDN HOLDINGS LIMITED (SGX:I07)
ISEC HEALTHCARE LTD.,ISEC HEALTHCARE LTD. (SGX:40T)
ISETAN,ISETAN (SINGAPORE) LTD (SGX:I15)
ISOTEAM LTD.,ISOTEAM LTD. (SGX:5WF)
IX BIOPHARMA LTD.,IX BIOPHARMA LTD. (SGX:42C)
JACKSPEED CORPORATION LIMITED,JACKSPEED CORPORATION LIMITED (SGX:J17)
JADASON ENTERPRISES LTD,JADASON ENTERPRISES LTD (SGX:J03)
JAPFA LTD.,JAPFA LTD. (SGX:UD2)
JARDINE CYCLE &amp; CARRIAGE LIMITED,JARDINE CYCLE & CARRIAGE LTD (SGX:C07)
JASPER INVESTMENTS LIMITED,JASPER INVESTMENTS LIMITED (SGX:FQ7)
JAWALA INC.,JAWALA INC. (SGX:1J7)
JCG INVESTMENT HOLDINGS LTD.,JCG INVESTMENT HOLDINGS LTD. (SGX:VFP)
JEP HOLDINGS LTD.,JEP HOLDINGS LTD. (SGX:1J4)
JIUTIAN CHEMICAL GROUP LIMITED,JIUTIAN CHEMICAL GROUP LIMITED (SGX:C8R)
KARIN TECHNOLOGY HLDGS LIMITED,KARIN TECHNOLOGY HLDGS LIMITED (SGX:K29)
KATRINA GROUP LTD.,KATRINA GROUP LTD. (SGX:1A0)
