,Symbol,Name
448,TSLA,Tesla Inc
449,TSN,Tyson Foods
450,TT,Trane Technologies Plc
451,TTWO,Take-Two Interactive
452,TXN,Texas Instruments
453,TXT,Textron Inc
454,TYL,Tyler Technologies
455,UAL,United Airlines Holdings Inc
456,UDR,United Dominion Realty Trust
457,UHS,Universal Health Services
458,ULTA,Ulta Beauty Inc
459,UNH,Unitedhealth Group Inc
460,UNP,Union Pacific Corp
461,UPS,United Parcel Service
462,URI,United Rentals
463,USB,U.S. Bancorp
464,V,Visa Inc
465,VFC,V.F. Corp
466,VICI,Vici Properties Inc
467,VLO,Valero Energy Corp
468,VMC,Vulcan Materials Company
469,VNO,Vornado Realty Trust
470,VRSK,Verisk Analytics Inc
471,VRSN,Verisign Inc
472,VRTX,Vertex Pharmaceutic
473,VTR,Ventas Inc
474,VTRS,Viatris Inc
475,VZ,Verizon Communications Inc
476,WAB,Wabtec Corp
477,WAT,Waters Corp
478,WBA,Walgreens Boots Alliance
479,WBD,Discovery Inc Series A
480,WDC,Western Digital Cp
481,WEC,Wisconsin Energy Corp
482,WELL,Welltower Inc
483,WFC,Wells Fargo & Company
484,WHR,Whirlpool Corp
485,WM,Waste Management
486,WMB,Williams Companies
487,WMT,Walmart Inc
488,WRB,W.R. Berkley Corp
489,WRK,Westrock Company
490,WST,West Pharmaceutical Services
491,WTW,Willis Towers Watson Public Ltd CO
492,WY,Weyerhaeuser Company
493,WYNN,Wynn Resorts Ltd
494,XEL,XCEL Energy Inc
495,XOM,Exxon Mobil Corp
496,XRAY,Dentsply Sirona Inc
497,XYL,Xylem Inc
498,YUM,Yum! Brands
499,ZBH,Zimmer Biomet Holdings
500,ZBRA,Zebra Technologies
501,ZION,Zions Bancorp
502,ZTS,Zoetis Inc Cl A
503,Downloaded from Barchart.com as of 11-27-2022 08:42am CST,
504,NLOK,NortonLifeLock Inc
